0,1,2
83.97,0.0,76.0
94.64,,93.38
89.66,,90.17
75.17,9.78,
88.97,0.0,94.8
91.78,42.5,
52.42,0.0,80.33
95.77,,78.82
97.82,0.0,
97.28,0.0,
85.67,,87.4
92.57,0.0,97.25
91.35,0.0,
97.15,0.0,96.0
87.72,0.0,89.67
58.54,0.0,62.0
85.28,0.0,
92.87,0.0,91.67
95.69,0.0,94.5
91.26,,91.69
73.89,0.0,
91.94,0.0,96.0
84.82,,92.0
97.13,0.0,96.5
91.89,87.57,
63.77,0.0,90.5
97.52,0.0,
92.22,0.0,
97.33,49.0,
88.96,,87.44
95.62,0.0,
87.32,0.0,80.0
90.05,0.0,88.67
88.95,0.0,83.0
30.8,0.0,0.0
88.63,0.0,
98.65,0.0,90.0
94.63,0.0,
91.65,0.0,86.0
94.33,96.0,
93.28,0.0,
97.22,0.0,
83.3,0.0,
76.81,0.0,
47.26,0.0,79.0
96.03,0.0,78.0
92.93,0.0,
97.15,0.0,97.0
77.95,37.0,
96.22,47.0,
88.94,0.0,81.8
97.6,0.0,99.0
81.35,92.0,
92.35,0.0,94.33
85.5,0.0,92.0
96.72,0.0,93.75
70.55,0.0,78.2
73.36,,79.0
84.35,0.0,
94.77,0.0,
98.76,,99.5
94.49,0.0,
90.11,0.0,94.5
71.96,0.0,
87.35,0.0,97.5
98.39,0.0,97.83
95.46,0.0,96.0
80.86,0.0,
95.96,0.0,
71.06,0.0,66.5
95.48,0.0,
76.09,0.0,
93.64,0.0,
92.0,0.0,88.0
98.47,,97.82
96.12,0.0,
62.74,61.0,
73.14,0.0,44.67
68.0,0.0,27.0
90.94,0.0,84.0
84.99,0.0,
96.32,0.0,93.0
87.61,0.0,95.5
94.91,0.0,94.5
74.25,0.0,
94.8,0.0,88.0
94.43,0.0,
82.75,,83.0
91.17,0.0,87.5
82.85,0.0,84.0
87.52,0.0,93.75
81.04,0.0,86.67
97.24,,95.5
96.81,,96.6
93.9,,97.12
66.62,0.0,51.75
98.12,0.0,98.25
74.31,0.0,
97.56,0.0,
27.89,0.0,48.0
73.44,35.5,
93.96,0.0,97.0
96.5,0.0,
84.27,0.0,85.2
57.48,0.0,
85.97,,73.33
91.72,,90.5
89.85,0.0,90.0
96.18,0.0,97.75
81.96,98.0,
98.13,,100.0
96.09,0.0,95.0
90.6,0.0,93.0
95.27,0.0,
83.19,0.0,
91.11,0.0,
82.76,0.0,
77.7,34.5,
47.93,94.0,
90.65,0.0,
91.67,0.0,
84.78,,83.75
94.06,0.0,
51.77,0.0,74.0
82.49,0.0,
96.26,99.5,
84.25,0.0,81.8
93.98,0.0,
97.21,0.0,
82.94,0.0,86.25
90.56,0.0,94.0
95.49,0.0,93.5
95.3,0.0,99.5
91.63,0.0,96.0
96.25,,96.62
92.63,0.0,
95.01,,88.5
75.64,0.0,
62.43,0.0,40.0
93.78,0.0,82.0
81.26,27.17,
89.61,0.0,
60.46,0.0,
96.35,0.0,93.0
94.31,0.0,94.67
87.14,0.0,93.0
84.0,0.0,
85.84,0.0,81.0
86.66,0.0,69.0
86.12,0.0,
